,name,synonyms
2132,Ilomastat,['Ilomastat']
2133,2'-Deoxyuridine,[]
2134,N-Bromoacetyl-Aminoethyl Phosphate,[]
2135,SR11254,[]
2136,"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",[]
2137,4-Oxosebacic Acid,[]
2138,Platelet Activating Factor,"['1-hexadecyl-2-acetyl-glycero-3-phosphocholine', 'Blood platelet-activating factor', 'PAF', 'PAF 16', 'PAF acether', 'Platelet-activating factor']"
2139,Orotic acid,"['Acido orotico', 'Acidum oroticum', 'Orotic acid', 'Orotsäure', 'Uracil-6-carboxylic acid', 'Vitamin B13']"
2140,D-glyceraldehyde 3-phosphate,"['(2R)-2-Hydroxy-3-(phosphonooxy)-propanal', 'D-Glyceraldehyde 3-phosphate', 'Glyceraldehyde-3-phosphate']"
2141,O2-Sulfo-Glucuronic Acid,[]
2142,Ethyl-Trimethyl-Silane,[]
2143,Flufenamic acid,"['acide flufénamique', 'ácido flufenámico', 'Acidum flufenamicum', 'Flufenamic acid']"
2144,Argininosuccinate,[]
2145,4-(Acetylamino)-3-Amino Benzoic Acid,[]
2146,[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,[]
2147,Dimethylallyl S-Thiolodiphosphate,[]
2148,S-(2-oxo)pentadecylcoa,[]
2149,Porphobilinogen,"['5-(Aminomethyl)-4-(carboxymethyl)-1H-pyrrole-3-propionic acid', 'Porphobilinogen']"
2150,"2,6-Dimethyl-7-Octen-2-Ol",[]
2151,7-Keto-8-Aminopelargonic Acid,[]
2152,"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",[]
2153,(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,[]
2154,1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,[]
2155,"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",[]
2156,Benzoylformic Acid,[]
2157,(R)-Mandelic acid,"['(−)-(R)-mandelic acid', '(−)-mandelic acid', '(−)-α-hydroxyphenylacetic acid', '(2R)-2-hydroxy-2-phenylacetic acid', '(R)-2-Hydroxy-2-phenylacetic acid', '(R)-Mandelsäure', '(R)-α-hydroxybenzeneacetic acid', '(R)-α-hydroxyphenylacetic acid', 'D-2-phenylglycolic acid', 'D-mandelic acid', 'D(−)-mandelic acid']"
2158,Formycin,[]
2159,5'-S-methyl-5'-thioadenosine,"['5-Methylthioadenosine', ""5'-Deoxy-5'-(methylthio)adenosine"", ""5'-Methylthioadenosine"", '9-(5-S-methyl-5-thio-β-D-ribofuranosyl)-9H-purin-6-amine', 'Methylthioadenosine', 'MTA', ""S-Methyl-5'-thioadenosine"", 'Thiomethyladenosine', 'Vitamin L2']"
2160,2-Phenylamino-Ethanesulfonic Acid,[]
2161,Protoporphyrin,['Protoporphyrin IX']
2162,2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,[]
2163,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,['[2-(2-Hydroxyphenyl)-1H-benzimidazol-5-yl](imino)methanaminium']
2164,CRA-9334,[]
2165,2-Aminopropanedioic Acid,[]
2166,"3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",[]
2167,Irosustat,"['6-Oxo-8,9,10,11-Tetrahydro-7h-Cyclohepta[C][1]Benzopyran-3-O-Sulfamate', 'Irosustat']"
2168,"(2S)-2,3-bis{[(3R,7R)-3,7,11,15-tetramethylhexadecyl]oxy}propyl (2R)-2-hydroxy-3-[(hydroxyphosphinato)oxy]propyl phosphate",[]
2169,"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",[]
2170,"N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide",[]
2171,Isoamyl alcohol,"['2-methyl-4-butanol', '3-methyl-1-butanol', '3-Methylbutanol', 'Isoamylol', 'Isobutylcarbinol', 'Isopentanol', 'Isopentyl alcohol']"
2172,2-Amino-6-Chloropyrazine,[]
2173,5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,[]
2174,Arginineamide,['L-arginine amide(1+)']
2175,Calcipotriol,"['Calcipotriene', 'Calcipotriol']"
2176,"5,10-Methylene-6-Hydrofolic Acid",[]
2177,Symmetric dimethylarginine,"[""(S)-2-amino-5-(N',N''-dimethylguanidino)pentanoic acid"", 'Guanidino-N(1),N(2)-dimethylarginine', 'N(G1),N(G2)-Dimethylarginine', 'N3,N4-dimethyl-L-arginine', 'N3,N4-dimethylarginine', ""NG,N'G-dimethylarginine"", 'SDMA']"
2178,"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",[]
2179,Prostaglandin B2,[]
2180,"4,5-Dehydro-D-Glucuronic Acid",[]
2181,Palmitoyl-Linoleoyl Phosphatidylcholine,[]
2182,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,[]
2183,"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",[]
2184,5-monophosphate-9-beta-D-ribofuranosyl xanthine,[]
2185,"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",[]
2186,Methyl Methylsulfinylmethyl Sulfide,[]
2187,beta-D-galactose 6-phosphate,"['6-O-phosphono-β-D-galactopyranose', 'beta-galactose-6-phosphate']"
2188,"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",[]
2189,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,[]
2190,Cyclic GMP,"[""3',5'-cyclic GMP"", 'cGMP', 'Cyclic GMP', 'Cyclic guanosine monophosphate', ""Guanosine 3',5'-cyclic monophosphate"", ""Guanosine 3',5'-cyclic phosphate"", 'Guanosine cyclic monophosphate']"
2191,"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",[]
2192,Alpha-D-Galactose-1-Phosphate,[]
2193,2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,[]
2194,"5,6-dihydroxy-NADP",[]
2195,N-beta-D-glucopyranosylacetamide,['1-N-acetyl-beta-D-glucosamine']
2196,"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",[]
2197,Heparin Disaccharide I-S,[]
2198,EM-1745,[]
2199,5-Iodo-2'-Deoxyuridine-5'-Monophosphate,[]
2200,Isopropyl alcohol,"['2-Propanol', 'Alcohol isopropílico', 'Isopropanol', 'Isopropyl alcohol']"
2201,1-Hydroxyamine-2-Isobutylmalonic Acid,[]
2202,Triethylene glycol,[]
2203,2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,[]
2204,Carbenoxolone,"['Carbenoxolona', 'Carbenoxolone']"
2205,"(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid",[]
2206,Flavin-N7 protonated-adenine dinucleotide,[]
2207,Deoxyuridine-5'-Triphosphate,[]
2208,(R)-2-Hydroxy-3-Sulfopropanoic Acid,[]
2209,2-Aminothiazoline,[]
2210,RU83876,[]
2211,S-(D-Carboxybutyl)-L-Homocysteine,[]
2212,NADPH,"['Dihydronicotinamide-adenine dinucleotide phosphate', 'Reduced nicotinamide adenine dinucleotide phosphate', 'TPNH']"
2213,Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,[]
2214,N-Acetyl-Serine,[]
2215,"Mdl 101,146",[]
2216,2-Methoxyestradiol,"['2-Hydroxyestradiol 2-methyl ether', '2-Hydroxyestradol 2-methyl ether', '2-ME2', '2-methoxy-17β-estradiol', '2-Methoxyestradiol-17beta', '2ME2']"
2217,"3,6,9,12,15-Pentaoxaheptadecane",[]
2218,Selenocysteine,"['3-selenyl-L-alanine', 'L-selenocysteine', 'Selenium cysteine']"
2219,3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside,[]
2220,2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,[]
2221,Monofluorophosphate ion,"['Fluoridophosphate', 'Fluorophosphate', 'Phosphorofluoridate']"
2222,Nicotinamide-adenine-dinucleotide-5-hydroxy-4-oxonorvaline,[]
2223,"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",[]
2224,3-(Benzyloxy)Pyridin-2-Amine,[]
2225,Heparin Disaccharide Iii-S,[]
2226,4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,[]
2227,Adenosine-5'-Rp-Alpha-Thio-Triphosphate,[]
2228,4-Imidazolmethylene-5-Imidazolone Chromophore,[]
2229,Methyl-O3-(Alpha-D-Mannose)-Alpha-D-Mannose,[]
2230,LY374571,[]
2231,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",[]
2232,Bis-Napthyl Beta-Ketophosphonic Acid,[]
2233,S-Methyl Thiocysteine Group,[]
2234,Aminobenzoic acid,"['1-Amino-4-carboxybenzene', '4-aminobenzoic acid', '4-Carboxyaniline', 'Aminobenzoic acid', 'p-Aminobenzoic acid', 'p-Carboxyaniline', 'p-Carboxyphenylamine', 'para-Aminobenzoic acid']"
2235,2'-Monophosphoadenosine-5'-Diphosphate,[]
2236,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,[]
2237,"1,10-Phenanthroline",['O-Phenanthroline']
2238,CRA_10762,[]
2239,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,[]
2240,N-Acetyl-L-Citrulline,[]
2241,"3-Aza-2,3-Dihydrogeranyl Diphosphate",[]
2242,Nz-(1-Carboxyethyl)-Lysine,[]
2243,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",[]
2244,"2,5-Dimethylpyrimidin-4-Amine",[]
2245,Adenosine monotungstate,[]
2246,Xylose-Derived Imidazole,[]
2247,Myricetin,"[""3,3',4,4',5',7-Hexahydro-2-phenyl-4H-chromen-4-one"", ""3,3',4',5,5',7-Hexahydroxyflavone"", '3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-chromen-4-one', ""3,5,7,3',4',5'-Hexahydroxyflavone"", 'Cannabiscetin', 'MYC', 'Myricetin', 'Myricetol', 'Myricitin']"
2248,"D-gluconhydroximo-1,5-lactam",[]
2249,Guanine,[]
2250,MMI-175,[]
2251,Beta-D-Glucose,"['beta-D-glucopyranose', 'Beta-D-glucose anhydrous', 'Beta-D-glucose, anhydrous', 'Glucoside', 'β-D-glucose']"
2252,Deoxyinosine,"[""2'-deoxyinosine"", '9-(2-deoxy-β-D-erythro-pentofuranosyl)-9H-purin-6-ol', 'Deoxyinosine']"
2253,nor-NOHA,"['(2S)-2-amino-4-(((hydroxyamino)iminomethyl)amino)butanoic acid', 'N-hydroxy-nor-arginine', 'N-hydroxy-nor-L-arginine', 'Nomega-Hydroxy-nor-L-arginine']"
2254,Namn,[]
2255,Tolrestat,['Tolrestat']
2256,(E)-2-Fluoro-P-Hydroxycinnamate,[]
2257,D-threo-neopterin,"['D-monapterin', 'D-threo-monapterin', 'Monapterin', 'Neopterin D-threo-form']"
2258,Leucine Phosphonic Acid,[]
2259,"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",[]
2260,5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide,[]
2261,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",[]
2262,"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",[]
2263,Oxiranpseudoglucose,[]
2264,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",[]
2265,Methylethylamine,[]
2266,O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,"['Tn Antigen', 'α-D-GalNAc-Ser']"
2267,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,[]
2268,L-Rhamnitol,"['(2S,3S,4S,5S)-hexane-1,2,3,4,5-pentol', '1-deoxy-L-mannitol', '6-deoxy-L-mannitol']"
2269,ES-936,[]
2270,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",[]
2271,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",[]
2272,2-Fluoroaniline,[]
2273,1-Deoxy-1-Thio-Heptaethylene Glycol,[]
2274,12-Bromododecanoic Acid,[]
2275,N-Valeric Acid,[]
2276,6-O-Cyclohexylmethyl Guanine,[]
2277,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",[]
2278,"(1r,4s)-2-Azabornane",[]
2279,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",[]
2280,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",[]
2281,Tetrahydropyran,[]
2282,Hydroxyethylcysteine,[]
2283,Cyclo(his-pro),"['(3S,8aS)-3-(1H-Imidazol-4-ylmethyl)hexahydropyrrolo[1,2-a]pyrazine-1,4-dione', 'cyclo(histidyl-prolyl)', 'cyclo(L-His-L-Pro)', 'Histidyl-proline diketopiperazine', 'Histidyl-proline-diketopiperazine']"
2284,N-Octyl-2-Hydroxyethyl Sulfoxide,[]
2285,"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",[]
2286,"2,4,6-Tribromophenol",[]
2287,"(R,R)-2,3-Butanediol",[]
2288,Ethyl Oxo(Piperidin-1-Yl)Acetate,[]
2289,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",[]
2290,Uridine-5'-diphosphate-mannose,[]
2291,Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,[]
2292,Thiopyrophosphate,['Trihydrogen thiodiphosphate']
2293,Geldanamycin,[]
2294,Hexadecyl Octanoate,"['Caprylic acid, cetyl ester', 'Cetyl caprylate', 'Cetyl octanoate', 'Hexadecyl caprylate', 'Hexadecyl N-octanoate']"
2295,Carboxyatractyloside,[]
2296,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",[]
2297,Quinaldic Acid,[]
2298,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,[]
2299,Trehalose-6-Phosphate,[]
2300,Cytidine-5'-Triphosphate,[]
2301,RU90395,[]
2302,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",[]
2303,4-(2-Thienyl)Butyric Acid,[]
2304,Aminomethylcyclohexane,[]
2305,{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid,[]
2306,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid,[]
2307,3-O-Methylfructose in Linear Form,[]
2308,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione",[]
2309,Dioxyselenocysteine,[]
2310,Methicillin Acyl-Serine,[]
2311,2-Deoxy-2-Amino Glucitol-6-Phosphate,[]
2312,Glutamine hydroxamate,"['gamma-Glutamyl hydroxamate', 'Glutamate-gamma-hydroxamate', 'Glutamate-gamma-hydroxamic acid', 'Glutamic acid gamma-monohydroxamate', 'Glutamyl-gamma-hydroxamate', 'L-gamma-Glutamyl hydroxamate', 'L-glutamic acid γ-hydroxamic acid']"
2313,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",[]
2314,N-Tridecanoic Acid,[]
2315,3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid,[]
2316,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid",[]
2317,B-nonylglucoside,[]
2318,Thymidine 5'-triphosphate,"[""2'-deoxythymidine triphosphate"", ""5'-TTP"", 'deoxy-TTP', 'dTTP', 'pppdT', ""Thymidine-5'-triphosphate""]"
2319,Antimonous acid,"['Stiborous acid', 'Trihydroxyantimonite(III)']"
2320,5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate,[]
2321,Fluoresceinylthioureido,[]
2322,Aracytidine 5'-monophosphate,"[""1-beta-D-Arabinofuranosylcytosine 5'-phosphate"", ""Ara-5'-CMP"", ""Aracytidine 5'-phosphate"", ""Cytosine arabinose-5'-phosphate"", ""Cytosine arabinoside 5'MP"", 'Cytosine arabinoside monophosphate']"
2323,Undecyl-Phosphinic Acid Butyl Ester,[]
2324,"S-(2,4-dinitrophenyl)glutathione","['dinitrophenyl-S-glutathione', 'DNP-S-glutathione', 'DNP-SGc']"
2325,4-guanidinobenzoic acid,"['4-Guanidino-benzoic acid', 'p-guanidinobenzoic acid']"
2326,Hydrogenobyrinic acid,"['Hydrogenobyrinate', 'Hydrogenobyrinic acid', 'Hydrogenobyrinsäure']"
2327,S-Methyl Phosphocysteine,[]
2328,Thiocoumarin,[]
2329,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,[]
2330,Benzylamine,[]
2331,Methoxy arachidonyl fluorophosphonate,"['MAFP', 'Methoxy arachidonyl fluorophosphonate', 'Methyl arachidonylfluorophosphonate']"
2332,BMS-181156,"['(E)-4-(3-Oxo-3-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propenyl)benzoic acid']"
2333,L-methionine (S)-S-oxide,[]
2334,12-Phenylheme,[]
2335,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",[]
2336,D-Glycero-D-Mannopyranose-7-Phosphate,[]
2337,Nojirimycine Tetrazole,[]
2338,"7,8-dihydroinosine","['6-hydroxy-7,8-dihydro purine nucleoside']"
2339,"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",[]
2340,BMSC-0013,['N-{6-[(Methoxycarbonyl)amino]hexanoyl}-β-D-galactopyranosylamine']
2341,Deoxyamidinoproclavaminic acid,"['Deoxyamidinoproclavaminate', 'Deoxyguanidinoproclavaminate', 'Deoxyguanidinoproclavaminic acid']"
2342,N-({4-[4-(2-Methyl-1H-imidazol-1-yl)butyl]phenyl}acetyl)-L-seryl-N-(2-cyclohexylethyl)-L-lysinamide,[]
2343,(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,[]
2344,(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate,[]
2345,N-Benzylformamide,[]
2346,Phosphonothreonine,[]
2347,Etheno-NAD,[]
2348,Cytidine 5'-diphosphoglycerol,[]
2349,Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid,[]
2350,2-Hydroxyethyl Disulfide,[]
2351,1-(2-Ethanone)-2-Hydroxy-2-(1-Amino-2-Methyl-2-Ethanol)-4-(2-Dimethyl)Ethane-Imidazoline-5-One;Chromophore (Thr-Leu-Gly),[]
2352,9-Methylguanine,[]
2353,(Diaminomethyl-Methyl-Amino)-Acetic Acid,[]
2354,4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,[]
2355,Ghavamiol,[]
2356,Hydantocidin-5'-phosphate,"['[(5S,7R,8S,9R)-8,9-dihydroxy-2,4-dioxo-6-oxa-1,3-diazaspiro[4.4]non-7-yl]methyl dihydrogen phosphate', 'Phosphohydantocidin']"
2357,(S)-3-phenyllactic acid,"['alpha-hydroxy-beta-phenyl-propionic acid', 'L-(−)-3-phenyllactic acid', 'L-3-phenyllactic acid', 'L-beta-Phenyllactic acid', 'L-β-phenyllactic acid']"
2358,9-(4-hydroxybutyl)-N2-phenylguanine,['HBPG']
2359,1-Deoxy-D-xylulose 5-phosphate,[]
2360,L-Alpha-Glycerophosphorylserine,[]
2361,Carba-nicotinamide-adenine-dinucleotide,[]
2362,Dinor-N(Omega)-Hydroxy-L-Arginine,[]
2363,6-(Dihydroxy-Isobutyl)-Thymine,[]
2364,N(2)-succinyl-L-arginine,"['N2-Succinyl-L-arginine', 'Succinyl-arginine', 'Succinylarginine']"
2365,8-hydroxy-2'-deoxyguanosine,"['8-Hydroxydeoxyguanosine', '8-OHdG', ""8-Oxo-7,8-dihydro-2'-deoxyguanosine"", '8-Oxo-dG', '8-Oxoguanosine']"
2366,4-(Carboxyvin-2-Yl)Phenylboronic Acid,[]
2367,[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid,[]
2368,N-(R-Carboxy-Ethyl)-Alpha-(S)-(2-Phenylethyl),[]
2369,"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",[]
2370,Isopentyl Pyrophosphate,[]
2371,Farnesol,[]
2372,5'-O-(L-Prolylsulfamoyl)adenosine,[]
2373,2-Hydroxy-5-({1-[(2-Naphthyloxy)Methyl]-3-Oxoprop-1-Enyl}Amino)Tyrosine,[]
2374,"1,6-Fructose Diphosphate (Linear Form)",[]
2375,Thymol,"['2-isopropyl-5-methylphenol', '5-Methyl-2-(1-Methylethyl)Phenol', 'IPMP']"
2376,(2Z)-3-{[Oxido(oxo)phosphoranyl]oxy}-2-phenylacrylate,[]
2377,sn-glycerol 3-phosphate,"['(R)-glycerol 1-phosphate', 'D-(glycerol 1-phosphate)', 'D-Glycerol 1-phosphate', 'Glycerol-3-phosphate', 'Glycerophosphoric acid', 'L-(glycerol 3-phosphate)', 'Phosphoric acid mono-((R)-2,3-dihydroxy-propyl) ester', 'Phosphorsäure-mono-((R)-2,3-dihydroxy-propylester)', 'sn-Glycerol 3-phosphate']"
2378,(R)-carnitinyl-CoA betaine,"['(R)-carnitinyl-CoA βine', 'L-carnitinyl-CoA betaine', 'R-carnitinyl-CoA inner salt']"
2379,D-Glutamic Acid,[]
2380,N-Acetylalanine,"['(S)-2-(acetylamino)propanoic acid', '2-acetamidopropionic acid', 'Ac-Ala-OH', 'Acetylalanine', 'L-N-Acetylalanine', 'N-acetyl-L-alanine', 'N-acetyl-L-α-alanine', 'N-Acetyl-S-alanine', 's-(-)-n-acetylalanine']"
2381,Indirubin-5-sulphonate,[]
2382,Ditiocarb,"['diethyl dithiocarbamate', 'diethyl-dithiocarbamate', 'diethylcarbamodithioic acid', 'diethyldithiocarbamate', 'diethyldithiocarbamic acid']"
2383,Flaviolin,"['2,5,7-Trihydroxy-1,4-naphthalenedione', '2,5,7-trihydroxynaphthoquinone']"
2384,Phosphonopyruvate,[]
2385,"2-aminooxyethyl-[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl]-methyl-sulfonium",[]
2386,"2',3'-O-{4-[Hydroxy(oxido)-λ5-azanylidene]-2,6-dinitro-2,5-cyclohexadiene-1,1-diyl}adenosine 5'-(tetrahydrogen triphosphate)",[]
2387,"D-galactohydroximo-1,5-lactam",[]
2388,CRA_10655,[]
2389,Cyclic adenosine monophosphate,"[""3',5'-cyclic AMP"", ""Adenosine 3',5'-cyclic monophosphate"", ""Adenosine 3',5'-cyclic phosphate"", ""Adenosine 3',5'-phosphate"", 'AMPC', 'cAMP', 'Cyclic adenylic acid', 'Cyclic AMP']"
2390,Tetrazolyl Histidine,[]
2391,"(2R,4S,5R,6R)-5-Acetamido-4-amino-6-(diethylcarbamoyl)oxane-2-carboxylic acid",[]
2392,gamma-Aminobutyric acid,"['4-aminobutanoic acid', '4-aminobutyric acid', '4Abu', 'GABA', 'gamma-Aminobutyric acid', 'piperidic acid', 'piperidinic acid', 'γ-amino-n-butyric acid', 'γ-aminobutanoic acid', 'γ-Aminobuttersäure', 'γ-aminobutyric acid', 'ω-aminobutyric acid']"
2393,Isobutyric acid,"['2-methyl-propionic acid', '2-Methylpropanoate', '2-Methylpropanoic acid', '2-Methylpropionsäure', '2,2-dimethylacetic acid', 'Dimethylacetic acid', 'iso-butyric acid', 'Isobutanoate', 'Isobuttersäure', 'Isobutyrate', 'Isopropylformic acid', 'α-isobutyric acid', 'α-methylpropanoic acid', 'α-methylpropionic acid']"
2394,"2,4,6-Triaminoquinazoline",[]
2395,2-Allylphenol,[]
2396,Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide,[]
2397,D-glyceraldehyde,"['D-(+)-glyceraldehyde', 'D-2,3-dihydroxypropanal', 'D-2,3-dihydroxypropionaldehyde', 'D-aldotriose', 'D-glycerose', 'Triose']"
2398,2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine,[]
2399,"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",[]
2400,"10-formyl-5,8,10-trideazafolic acid",[]
2401,4-Hydroxybutan-1-Aminium,[]
2402,(4s)-5-Fluoro-L-Leucine,[]
2403,Pyrrole-2-Carboxylate,[]
2404,"N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine",[]
2405,Fexaramine,[]
2406,Vorinostat,"['Octanedioic acid hydroxyamide phenylamide', 'SAHA', 'SHH', 'Suberanilohydroxamic acid', 'Suberoylanilide hydroxamic acid', 'Vorinostat', 'Vorinostatum']"
2407,Guanosine-5'-Diphosphate-Rhamnose,[]
2408,D-glucitol 6-phosphate,"['D-Glucitol, 6-(dihydrogen phosphate)', 'D-Sorbitol 6-phosphate', 'D-sorbitol-6-phosphate', 'Sorbitol 6-phosphate', 'Sorbitol-6-phosphate']"
2409,3'-O-Acetylthymidine-5'-diphosphate,"[""3'-O-Acetylthymidine 5'-(trihydrogen diphosphate)""]"
